1.514575,0.135796,0.879197
1.514610,0.135804,0.879348
1.514690,0.135826,0.879481
1.514725,0.135833,0.879632
1.514748,0.135836,0.879791
1.514770,0.135839,0.879951
1.514786,0.135840,0.880111
1.514789,0.135837,0.880273
1.514844,0.135851,0.880422
1.514949,0.135882,0.880538
1.515016,0.135900,0.880672
1.515038,0.135903,0.880831
1.515113,0.135923,0.880972
1.515244,0.135963,0.881078
1.515363,0.135998,0.881200
1.515449,0.136022,0.881325
1.515491,0.136032,0.881475
1.515520,0.136037,0.881634
1.515587,0.136055,0.881768
1.515635,0.136067,0.881918
1.515651,0.136068,0.882078
1.515667,0.136069,0.882238
1.515747,0.136091,0.882371
1.515981,0.136165,0.882439
1.516068,0.136189,0.882570
1.516129,0.136205,0.882712
1.516202,0.136226,0.882845
1.516238,0.136233,0.883004
1.516266,0.136238,0.883148
1.516289,0.136241,0.883315
1.516317,0.136246,0.883460
1.516340,0.136249,0.883626
1.516363,0.136252,0.883786
1.516405,0.136262,0.883936
1.516460,0.136276,0.884086
1.516649,0.136335,0.884172
1.516851,0.136398,0.884250
1.516848,0.136392,0.884419
1.516755,0.136357,0.884633
1.516854,0.136386,0.884756
1.516986,0.136425,0.884870
1.517073,0.136450,0.885002
1.517101,0.136455,0.885153
1.517123,0.136458,0.885306
1.517177,0.136472,0.885448
1.517221,0.136481,0.885613
1.517224,0.136478,0.885781
1.517323,0.136507,0.885905
1.517512,0.136565,0.885991
1.517599,0.136590,0.886116
1.517603,0.136587,0.886292
1.517651,0.136598,0.886442
1.517738,0.136623,0.886573
1.517785,0.136634,0.886716
1.517860,0.136655,0.886864
1.517915,0.136668,0.887006
1.517944,0.136674,0.887165
1.517960,0.136675,0.887325
1.517995,0.136682,0.887476
1.518050,0.136696,0.887625
1.518104,0.136709,0.887768
1.518198,0.136736,0.887906
1.518311,0.136769,0.888028
1.518385,0.136790,0.888168
1.518491,0.136821,0.888291
1.518616,0.136858,0.888405
1.518640,0.136861,0.888579
1.518649,0.136860,0.888740
1.518704,0.136874,0.888889
1.518747,0.136883,0.889053
1.518770,0.136886,0.889213
1.518799,0.136892,0.889372
1.518847,0.136903,0.889522
1.518889,0.136913,0.889672
1.518971,0.136935,0.889819
1.519083,0.136968,0.889934
1.519229,0.137012,0.890060
1.519277,0.137024,0.890203
1.519312,0.137031,0.890361
1.519426,0.137064,0.890497
1.519500,0.137085,0.890630
1.519543,0.137094,0.890795
1.519566,0.137097,0.890954
1.519615,0.137109,0.891111
1.519707,0.137136,0.891236
1.519750,0.137145,0.891393
1.519746,0.137140,0.891562
1.519854,0.137171,0.891706
1.519980,0.137208,0.891827
1.520054,0.137228,0.891967
1.520155,0.137257,0.892105
1.520236,0.137280,0.892244
1.520265,0.137285,0.892403
1.520308,0.137294,0.892561
1.520363,0.137308,0.892710
1.520391,0.137313,0.892862
1.520414,0.137316,0.893028
1.520418,0.137313,0.893204
1.520447,0.137318,0.893356
1.520483,0.137326,0.893514
1.520532,0.137337,0.893678
1.520665,0.137377,0.893798
1.520804,0.137419,0.893918
1.520872,0.137437,0.894066
1.520965,0.137464,0.894197
1.521047,0.137486,0.894343
1.521121,0.137506,0.894484
1.521183,0.137522,0.894632
1.521225,0.137532,0.894790
1.521254,0.137537,0.894948
1.521317,0.137553,0.895104
1.521353,0.137560,0.895262
1.521368,0.137561,0.895422
1.521482,0.137594,0.895552
1.521615,0.137634,0.895679
1.521780,0.137685,0.895789
1.521905,0.137722,0.895910
1.521935,0.137727,0.896076
1.521952,0.137728,0.896243
1.521988,0.137736,0.896401
1.522011,0.137739,0.896567
1.522034,0.137742,0.896727
1.522057,0.137745,0.896893
1.522106,0.137756,0.897050
1.522142,0.137764,0.897208
1.522170,0.137769,0.897360
1.522259,0.137794,0.897513
1.522502,0.137870,0.897601
1.522673,0.137922,0.897710
1.522710,0.137930,0.897876
1.522752,0.137939,0.898026
1.522796,0.137949,0.898198
1.522831,0.137956,0.898356
1.522875,0.137966,0.898520
1.522930,0.137980,0.898676
1.522947,0.137981,0.898844
1.522944,0.137975,0.899020
1.522981,0.137983,0.899185
1.523069,0.138007,0.899331
1.523246,0.138062,0.899432
1.523419,0.138114,0.899556
1.523449,0.138120,0.899721
1.523504,0.138133,0.899871
1.523593,0.138158,0.900023
1.523654,0.138174,0.900172
1.523684,0.138179,0.900331
1.523720,0.138187,0.900496
1.523737,0.138188,0.900663
1.523768,0.138193,0.900843
1.523797,0.138198,0.900995
1.523892,0.138225,0.901147
1.524026,0.138265,0.901281
1.524087,0.138281,0.901430
1.524098,0.138279,0.901605
1.524167,0.138298,0.901759
1.524384,0.138365,0.901850
1.524486,0.138394,0.902002
1.524522,0.138402,0.902167
1.524552,0.138407,0.902332
1.524569,0.138408,0.902500
1.524599,0.138413,0.902665
1.524634,0.138420,0.902824
1.524658,0.138423,0.902997
1.524694,0.138431,0.903155
1.524764,0.138449,0.903317
1.524923,0.138497,0.903435
1.525031,0.138528,0.903579
1.525067,0.138536,0.903744
1.525168,0.138565,0.903881
1.525308,0.138607,0.904015
1.525357,0.138618,0.904165
1.525380,0.138621,0.904331
